wavelength,Big red-10x epiplan - 010-LCP,Big green-10x epiplan - 010-LCP,Big blue-10x epiplan - 006-LCP,Med red-10x epiplan - 010-LCP,Med green-10x epiplan - 022-LCP- 017,Med blue-10x epiplan - 002-LCP
1050.102661,0.105985037,0.117433414,0.058187864,0.075228595,0.073042776,0.089775561
1050.608887,0.102225886,0.097365407,0.096867271,0.108821105,0.088201604,0.068425392
1051.115356,0.089005236,0.082077052,0.071116928,0.078970332,0.064070352,0.097294939
1051.62146,0.084723442,0.069842551,0.037752414,0.057945566,0.061768268,0.030289728
1052.127808,0.055151774,0.088150882,0.057716973,0.073108166,0.077490775,0.066695169
1052.633789,0.088680927,0.078145127,0.043672014,0.053030303,0.053671103,0.031194296
1053.139771,0.098664369,0.056027165,0.085308057,0.073244291,0.068336163,0.082722964
1053.645874,0.062588905,0.035958904,0.039355145,0.061640588,0.027825342,0.051683262
1054.151733,0.090597453,0.062827225,0.064152791,0.061704212,0.070244328,0.061704212
1054.657593,0.083179298,0.05117935,0.054066543,0.090110906,0.052514464,0.060998152
