,time,temperature
514,2018-11-01 09:25:02.898300,15.39
515,2018-11-01 09:25:03.200832,15.22
516,2018-11-01 09:25:03.507650,15.24
517,2018-11-01 09:25:03.814121,15.07
518,2018-11-01 09:25:04.126761,15.07
519,2018-11-01 09:25:04.423427,14.97
520,2018-11-01 09:25:04.729012,14.88
521,2018-11-01 09:25:05.033349,14.75
522,2018-11-01 09:25:05.339474,14.71
523,2018-11-01 09:25:05.641568,14.59
524,2018-11-01 09:25:05.949511,14.53
525,2018-11-01 09:25:06.251051,14.49
526,2018-11-01 09:25:06.556592,14.35
527,2018-11-01 09:25:06.861024,14.27
528,2018-11-01 09:25:07.167851,14.18
529,2018-11-01 09:25:07.476336,14.21
530,2018-11-01 09:25:07.779654,14.09
531,2018-11-01 09:25:08.083269,14.06
532,2018-11-01 09:25:08.386132,13.95
533,2018-11-01 09:25:08.742689,13.82
534,2018-11-01 09:25:09.046253,13.85
535,2018-11-01 09:25:09.351474,13.7
536,2018-11-01 09:25:09.657119,13.64
537,2018-11-01 09:25:09.961179,13.57
538,2018-11-01 09:25:10.267634,13.52
539,2018-11-01 09:25:10.571784,13.5
540,2018-11-01 09:25:10.878091,13.45
541,2018-11-01 09:25:11.182183,13.42
542,2018-11-01 09:25:11.485846,13.39
543,2018-11-01 09:25:11.791289,13.42
544,2018-11-01 09:25:12.096110,13.41
545,2018-11-01 09:25:12.404940,13.21
546,2018-11-01 09:25:12.706926,13.29
547,2018-11-01 09:25:13.013463,13.09
548,2018-11-01 09:25:13.316474,13.16
549,2018-11-01 09:25:13.623203,13.19
550,2018-11-01 09:25:13.929390,13.14
551,2018-11-01 09:25:14.232876,13.19
552,2018-11-01 09:25:14.541456,13.29
553,2018-11-01 09:25:14.843529,13.15
554,2018-11-01 09:25:15.151087,13.1
555,2018-11-01 09:25:15.450972,13.02
556,2018-11-01 09:25:15.756840,12.93
557,2018-11-01 09:25:16.061353,13.03
558,2018-11-01 09:25:16.364897,12.97
559,2018-11-01 09:25:16.672509,13.03
560,2018-11-01 09:25:16.975845,13.03
561,2018-11-01 09:25:17.282041,13.0
562,2018-11-01 09:25:17.587030,12.99
